"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-01","5.14",,"0.00",,"0.0","0.0","37","45","32",,"  360","  300","14.1","18.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-02","4.03",,"0.00",,"0.0","0.0","36","51","24",,"  200","  200","12.1","15.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-03","6.71",,"0.00",,"0.0","0.0","39","55","29",,"  360","   10","16.1","21.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-04","10.51",,"0.00",,"0.0","0.0","36","39","27",,"   10","  350","21.9","28.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-05","4.25",,"0.00",,"0.0","0.0","32","44","24",,"  120","  170","12.1","14.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-06","3.13",,"0.00",,"0.0","0.0","34","48","25",,"  160","  100","12.1","16.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-07","3.36",,"0.00",,"0.0","0.0","39","56","28",,"  120","  110","10.1","14.1",,,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-08","6.71",,"0.02",,"0.0","0.0","53","59","47",,"  200","  210","16.1","19.9","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-09","7.61",,"0.20",,"0.0","0.0","51","57","46",,"  280","  280","21.0","28.0","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-10","10.29",,"0.08",,"0.0","0.0","36","48","17",,"  290","  300","21.9","31.1","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-11","6.93",,"0.00",,"0.0","0.0","24","40","13",,"  200","  210","18.1","23.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-12","10.07",,"0.00",,"0.0","0.0","39","49","23",,"  320","  280","21.0","32.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-13","4.47",,"0.00",,"0.0","0.0","30","44","20",,"  190","  190","13.0","16.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-14","8.72",,"0.00",,"0.0","0.0","45","62","36",,"  200","  190","18.1","25.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-15","7.16",,"0.37",,"0.0","0.0","47","52","42",,"  330","  350","23.9","35.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-16","6.49",,"0.00",,"0.0","0.0","41","43","34",,"  350","  320","13.0","19.9",,,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-17","9.84",,"0.00",,"0.0","0.0","35","42","19",,"  330","  330","17.0","23.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-18","7.61",,"0.00",,"0.0","0.0","21","25","12",,"  310","  300","14.1","19.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-19","4.03",,"0.00",,"0.0","0.0","19","28","14",,"  110","  150","8.9","15.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-20","3.58",,"0.26",,"0.2","0.0","29","33","28",,"   30","  310","12.1","16.1","    1",,,"    1",,"    1",,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-21","7.61",,"0.20",,"0.0","0.0","32","36","30",,"   60","   60","15.0","18.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-22","14.54",,"0.96",,"8.0","7.1","32","35","26",,"   40","   10","23.9","32.0","    1","    1",,,,,"    1","    1",
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-23","8.50",,"0.00",,"0.0","7.1","27","30","17",,"  320","  340","16.1","23.9","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-24","3.13",,"0.00",,"0.0","5.1","23","39","12",,"  150","  150","8.9","10.1","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-25","11.18",,"0.00",,"0.0","3.9","38","56","28",,"  180","  180","21.0","25.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-26","9.62",,"0.08",,"0.0","0.0","49","57","33",,"  190","  190","19.9","25.1","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-27","6.26",,"0.00",,"0.0","0.0","36","43","26",,"   60","   50","15.0","19.9",,,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-28","5.14",,"0.00",,"0.0","0.0","34","55","20",,"  250","  250","12.1","15.0","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-29","4.25",,"0.00",,"0.0","0.0","43","52","32",,"  350","  270","8.9","17.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-30","11.86",,"0.00",,"0.0","0.0","47","69","32",,"  190","  200","25.1","38.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-01-31","14.32",,"0.00",,"0.0","0.0","62","72","54",,"  200","  200","31.1","40.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-01","5.82",,"0.18",,"0.0","0.0","57","64","46",,"  350","  320","14.1","18.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-02","12.97",,"0.96",,"0.0","0.0","57","75","46",,"  170","  140","30.0","40.9","    1","    1",,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-03","8.72",,"0.10",,"0.0","0.0","59","60","41",,"  320","  250","17.0","31.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-04","8.50",,"0.00",,"0.0","0.0","40","44","29",,"  340","  360","17.0","23.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-05","1.79",,"0.00",,"0.0","0.0","35","50","23",,"  320","  310","8.1","14.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-06","1.34",,"0.00",,"0.0","0.0","40","54","27",,"  290","  290","8.9","16.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-07","5.82",,"0.00",,"0.0","0.0","41","58","27",,"  200","  230","16.1","19.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-08","9.17",,"0.03",,"0.7","1.2","44","48","27",,"  290","  280","21.0","30.0","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-09","8.28",,"0.05",,"2.0","1.2","27","27","21",,"  310","  290","19.9","25.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-10","6.71",,"0.02",,"0.4","1.2","24","31","19",,"  320","  300","17.0","21.9","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-11","5.82",,"0.00",,"0.0","0.0","31","44","26",,"   20","  320","13.0","17.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-12","6.93",,"0.00",,"0.0","0.0","36","46","27",,"  330","  320","18.1","25.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-13","9.40",,"0.00",,"0.0","0.0","28","33","20",,"   10","  330","17.0","23.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-14","6.93",,"0.18",,"0.0","0.0","29","39","27",,"  110","  130","15.0","18.1","    1",,,"    1",,"    1",,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-15","6.26",,"1.24",,"0.0","0.0","38","44","33",,"  330","  340","15.0","19.9","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-16","6.49",,"0.53",,"0.0","0.0","42","46","37",,"  320","  300","16.1","21.9","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-17","3.80",,"0.00",,"0.0","0.0","39","43","31",,"  310","  300","12.1","17.0","    1","    1",,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-18","6.26",,"0.00",,"0.0","0.0","40","62","27",,"  180","  170","18.1","23.9","    1","    1",,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-19","15.21",,"0.00",,"0.0","0.0","58","72","51",,"  200","  240","31.1","45.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-20","9.62",,"0.00",,"0.0","0.0","64","69","61",,"  190","  200","19.9","23.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-21","8.05",,"0.02",,"0.0","0.0","63","67","56",,"  360","  360","19.9","23.0","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-22","8.50",,"0.03",,"0.0","0.0","54","57","47",,"   30","  350","14.1","18.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-23","7.83",,"0.85",,"0.0","0.0","50","59","45",,"  110","  120","17.0","23.0","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-24","14.32",,"0.24",,"0.0","0.0","51","59","37",,"  240","  240","23.9","35.1","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-25","8.95",,"0.03",,"0.0","0.0","40","43","36",,"  310","  310","18.1","28.0",,,,"    1",,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-26","4.70",,"0.00",,"0.0","0.0","40","50","32",,"  320","  270","14.1","23.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-27","6.49",,"0.00",,"0.0","0.0","44","62","28",,"  190","  270","16.1","25.9",,,,,,,,,
